url,description,name
,"The Department of Computer Science and Engineering has sent out 5 teams 
to join the Regional Contests of ACM International Collegiate Programming 
Contest 2008. We are delighted that they have got very good results in 
various contest sites:,The team comprised of Hu Hao, Chen Chen and Cheung Yun Kuen was ranked 
the 4th Place in the Asia Regional Contests in both Seoul site and Danang 
site which was held on Nov 1 - 2, 2007 and Nov 10 - 11, 2007 respectively.  
They also got the First Prize at Danang.,The two teams comprised of Chui Sung Him, Yan Zhepeng and Wu You; as 
well as Chu Li Yu, Yeung Yuen Chuen and Lam Chi Kit respectively won the 
3rd Place and 4th Place in the Taipei Site contest held on Nov 24 - 25.  
At the same time, another two teams, sent to the Chengdu Site, with team 
members Yan Zhepeng, Li Qingxi, Guo Junfeng ; as well as Wu You, Qiu 
Qianhao and Zhu Yin got 14th Place (Silver Medal) and Honorable Mention 
respectively., and Li Rui was the Coach and PG Coach 
of the teams respectively.,Congratulations!,ACM-ICPC is an annual event organized by the Association for Computing 
Machinery in US. It is known to be a prestigious competition in the 
international computer world, due to its long establishment. The contest 
provides a platform for university students to develop their analytical 
skills and problem solving skills, and is recognized as the one with the 
largest scale and highest level of similar kind.,Within the limited time, participants are being challenged for their 
creativity, teamwork, and innovation in building new software 
programs.,The contest is comprised of several levels of competitions:",ACM International Collegiate Programming Contest 2008
," and her PhD student, Ji Luo have 
recently been awarded the Best Paper Award at the IEEE Global 
Telecommunications Conference (IEEE GLOBECOM 2007) - ASNA Symposium.,Congratulations!,It is the 50th Anniversary of this annual Conference. This year, only 
two papers from the ASN Symposium were selected for the award, one of 
which being ""Relative Distance Based Localization for Mobile Sensor 
Networks"" authored by Dr. Zhang and Mr. Luo.,IEEE Global Telecommunications Conference is an information-rich 
conference which spans the entire range of communications technologies, 
offering in-depth information on the latest developments in voice, data, 
image, and multimedia. Themed ""Innovate, Educate, Accelerate"", IEEE 
GLOBECOM 2007 included a general symposium and nine technical symposia 
that offered more than 1,000 technical presentations, as well as diverse 
tutorials and workshops. Topics for the technical symposia include ad-hoc 
and sensor networking, communication theory, Internet protocols, optical 
networks, multimedia communications, signal processing, and wireless 
communications.,Learn more about ,.",IEEE Globecom 2007 Best Paper Award (ASNA Symposium)
,"Following the remarkable triumph in the , of ACM International 
Collegiate Programming Contest 2008, the , comprised of CHUI Sung Him (CPEG Yr.2), YAN Zhepeng 
(COMP Yr.1) and WU You (COMP Yr.1), led by Dr. YI Ke and PG Coach LI Rui, 
will advance to the World Finals to be held from April 6-10, 2008 at 
Fairmont Banff Springs in Alberta.,To enter the World Finals, our team has beaten more than 6,000 teams 
from countries all over the world. This is also the first time in the 
recent 12 years HKUST enters the World Finals of ACM International 
Collegiate Programming Contest World Finals.,Congratulations!","ACM International Collegiate Programming Contest 2008: World 
Finals"
," is organizing the , again this year. 
HKUST is the first institution to provide computer science (CS) and 
information technology (IT) programs under the , Support Measures for the Exceptionally Gifted 
Students Scheme. This course serves to introduce the fun and challenge 
of CS and IT to exceptionally gifted secondary school students through 
working on a programming-oriented group project under guidance. Its dual 
objectives are to expose students to the scientific foundations of CS 
and to give them ample opportunities to gain hands-on experience in 
using IT in creative ways to solve problems encountered in daily 
life.,The program will benefit approximately 20 students talented in IT, 
science or mathematics who are currently studying within the Form 3 to 
Form 7 age-range.  They can choose to work on different group projects, 
including Mobile Phone Application Development, Computer Game 
Programming, Data Visualization, Decryption of Historical Ciphers, Curve 
and Surface Reconstruction, and Lego Robotics Programming.  Under the 
supervision of professors and tutors, each group of students will meet 
once a month and work together on their projects in a fun and 
educational manner.  On completion of the five-month course, a round-up 
summer camp will be held at HKUST during which the groups will give 
presentations on their achievements and exchange experiences.,To kick off the program, an opening ceremony was held at HKUST on 12 
April 2008 (Sat).,Read More information about the ,.","Information Technology Enrichment Project Course for Gifted Students 
2008"
,"The Student Ambassadors Program was launched by the School of 
Engineering in 2006. In the past two years, Student Ambassadors 
representing the Department of Computer Science and Engineering have 
actively participated in different outreach and recruitment activities, 
and have helped promoting Computer Science to the public.,This year, we are pleased to announce that three CSE undergraduates who 
have demonstrated outgoing personality and strong enthusiasm have been 
selected from the Department of Computer Science and Engineering to serve 
for one year (from March 2008 to February 2009). In the coming year, they 
will be representing our department to promote the programs locally.,The three Student Ambassadors this year are:,Congratulations!",Student Ambassadors Program 2008
,"On June 5, 2008, an informal Award Presentation Ceremony and Lunch 
Gathering was held at G/F Restaurant of HKUST. Awardees of the Professor 
Samuel Chanson Scholarship & Awards were invited to attend the ceremony 
and lunch. We were delighted to have Professor Lionel Ni, Head of CSE 
Department to join us and present the prizes to the awarded students.",Professor Samuel Chanson Scholarship and Awards (2007-08)
,"Three projects from HKUST have won our faculty and students a total of 
6 prizes of Hong Kong ICT Awards 2007.,The Hong Kong ICT Awards were established in 2006 and is supported by 
The Government of the Hong Kong Special Administrative Region. The 
Government Chief Information Officer is Chairman of the Organising 
Committee of the Awards. It is a collaborative effort among industry 
support organisations, ICT professional bodies, academia and the 
Government to build a large scale and internationally recognised branding 
of ICT awards of Hong Kong.,The Awards comprise seven award categories, including Best Business, 
Best Digital Entertainment, Best Digital Inclusion, Best Innovation & 
Research, Best Lifestyle, Best Public Service Application, and Best 
Ubiquitous Networking. There is one Grand Award in each award 
category.,The Grand Judging Panel is comprised of influential professionals in 
the industry, such as Professor Lawrence J. Lau, Vice-Chancellor of The 
Chinese University of Hong Kong, Professor Ng Ching-fai, President and 
Vice-Chancellor of Hong Kong Baptist University, Executive Councillor and 
Legislative Councillor Mr. Bernard Chan and Legislative Councillor, Mr. 
Sin Chung-kai.,The Hong Kong ICT Awards 2007 had drawn 330 entries for the seven award 
categories; and successfully increased the awareness amongst the industry 
and the public.,The award winners and their award-winning projects from HKUST this year 
include:,Award-winning Project: Coal Mine Surveillance with Wireless Sensor 
Networks,Award-winning Project: ,Award-winning Project: ,Members of the winning team Motivision:,All winners attended a prize presentation ceremony on 21 January 2008. 
The Grand Award winners, Dr Liu Yun-hao and Li Mo received their prizes 
from HKSAR Government's Financial Secretary John C Tsang.,Congratulations!,Read ,.",HKUST Faculty and Students won 6 prizes of Hong Kong ICT Awards 2007
,"After several rounds of review and the final approval of National 
Natural Science Foundation of China (NSFC) and the Research Grants Council 
(RGC), the results for NSFC-RGC Joint Research Scheme 2007/08 have 
recently been released.,23 projects were selected out of 380 applications.  The success rate is 
less than 10% due to intensive competition among applicants.  We are very 
glad that, while 9 of the 23 projects are from HKUST, 3 of them are from 
the Department of Computer Science and Engineering:,This year, the contributions from NSFC and RGC have increased to RMB 
7.5 M and HKD 15M respectively.  Life science and information science are 
still the main fields for joint research, with 6 approved in information 
science and 8 in life sciences.,Related information:","3 Research Projects from CSE Department got the support from NSFC/RGC 
Joint Research Scheme 2007/08"
,,"Appointment of Head of Department of Computer Science and 
Engineering"
,"Two CSE research teams have recently been recognized with Best Paper 
Award and Best Student Poster Award respectively at World's Prestigious 
Conferences on Computer Science.,The paper ""Opportunity-based Topology Control in Wireless Sensor 
Networks"" co-authored by Yunhuai LIU, , and , beat over 600 other 
papers to win the Best Paper Award at the IEEE International Conference on 
Distributed Computing Systems 2008 in Beijing.,This Opportunity-based Topology Control system effectively improves the 
energy efficiency of wireless sensor networks (WSNs). ""Traditional 
approaches are based on the deterministic network model that assumes 
wireless links are either connected or disconnected. As a result, the 
network behavior results based on this deterministic network model cannot 
reflect the performances realistically."" In order to solve the problem, 
they proposed a new probabilistic network model using several heuristic 
algorithms which show promising results., is an IEEE 
Computer Society sponsored premier conference with a wide coverage of 
topics in Distributed Computing. It has a long history of significant 
achievements and worldwide visibility. The conference provides a forum for 
engineers and scientists in academia, industry and government to present 
their latest research findings in any aspects of distributed and parallel 
computing.,Another award-winning team involves Jia CHEN, Lu YUAN and , and , from the Visgraph research group. Their research paper ""Robust 
Dual Motion Deblurring"" received the Best Student Poster Award at the IEEE 
Computer Society Conference on Computer Vision and Pattern Recognition 
(CVPR) held in Alaska.,This paper targets at motion deblurring problem for digital photograph 
- removing photo blur caused by camera shake. It doesn't require 
professional DSLR functions or any other special hardware, thus providing 
great convenience for consumer level photography. The algorithm of this 
paper is based on solid analysis of the state-of-the-art approaches and 
novel use of robust techniques to make big improvements.,The , is 
one of the best three vision conferences all over the world (the other two 
are ICCV and ECCV). Our lab has consistent publications on this conference 
every year. This award is the first award we've got from CVPR but not the 
last.",Research Papers Win Awards at Prestigious Conferences
,"αGate dynamic RFID Portal (αGate Portal), invented by Prof. 
Lionel Ni and Prof. Shing-Chi Cheung of the CSE Department at HKUST, has 
recently been awarded the Certificate of Merit of ,The Hong Kong RFID Awards organized by the , were established to bring 
recognition to pioneering enterprises, which have successfully brought 
EPC/RFID technologies into their business operations. The purpose of the 
Awards is to encourage the adoption of EPC/RFID technology by businesses 
in Hong Kong and the Pearl River Delta region, and to foster the 
development of new EPC/RFID products and services.,The patented αGate Portal is a measuring, testing and calibration 
instrument that is designed to address environmental, material and device 
constraints. It streamlines repetitive processes to identify the 
perfect-fit combination for those constraints. αGate Portal helps:",CSE Faculty Wins RFID Award with αGate Portal
,"Our undergraduates the FYP team comprised of Wong Ka Ying, Lam Tsz Chiu 
and Tong Ho Yin who joined the 2008 Amway Pan-Pearl River Delta Region 
Universities IT Project Competition has got the third runner-up. The 
award-winning project is a language learning application called ,.

,This project was supervised by Dr. Jogesh MUPPALA and was one of the ,.,This is the third year of the Amway Pan-Pearl River Delta Region 
Universities IT Project Competition. The event is organized by the Jiangxi 
Federation of Computers, co-organized by Internet Professional Association 
(iProA) and sponsored by Amway (China) Limited Company. Through exhibiting 
the education achievements of the computer profession in Pan-PRD region, 
the competition promotes external and internal collaboration, foster a 
knowledge exchange platform to nurture ICT talents in respond to the 
market demand for ICT talents.,The first Amway Cup was organized in 2005 and it drew participants from 
the universities in Guangdong, Hong Kong, and Macau. Amway (China) Co., 
Limited has been the sponsor of the competition ever since then. In 2006, 
the competition expanded its scope to cover the Pan-Pearl River Delta 
Region. Last year, it was co-organized by the computer federations of 9 
provinces in the Pan-Pearl River Delta region, iProA, and Macau Computer 
Association and sponsored by Amway (China) Co., Limited.,For details about the ,, please 
visit the ,.","2008 Amway Pan-Pearl River Delta Region Universities IT Project 
Competition: 3rd Runner-up"
,"The Vision and Graphics Group at the Department of Computer Science and 
Engineering has a record number of total of ten papers accepted in 
SIGGRAPH-US (Los Angeles) and SIGGRAPH-Asia (Singapore) in 2008. These ten 
papers will be published in the revered ACM Transactions on Graphics (ToG) 
journal.,Last year, our group published , at SIGGRAPH'07 at San Diego.,SIGGRAPH is the number 1 international conference in computer graphics 
and interactive techniques, and has been dubbed as the ""Academy Award in 
Computer Graphics"" by a local newspaper. Many algorithms and techniques, 
which were first reported in SIGGRAPH, have a long-lasting impact on 
animation movie, computer game, digital cockpit and flight simulation, 
just to name a few important industrial applications.,The inaugural SIGGRAPH-Asia is equivalent to SIGGRAPH at all fronts. 
Two-third of the program committee members of SIGGRAPH-Asia comprises of 
veteran SIGGRAPH PC members, while the rest are first timers and/or 
invited from Asia (one VG faculty was invited to the SIGGRAPH-Asia program 
committee). The submissions received by both SIGGRAPHs were comparable in 
terms of quality and quantity and were truly international. Every 
decision the SIGGRAPH-Asia program committee made has been conducted in 
the same SIGGRAPH way, as papers from both SIGGRAPH-US and SIGGRAPH-Asia 
are published in the same top journal. The acceptance rates of both 
SIGGRAPHs are 18% this year.,Read more about","Vision and Graphics Group Published a Total of 10 SIGGRAPH Papers in 
2008"
," joined hands with IBM China/Hong Kong Limited to host the 
IBM EX.I.T.E. Camp from July 28 to August 1, 2008. Thirty-six girls aged 
11-13 from four distinguished secondary schools in Hong Kong - Belilios 
Public School, Maryknoll Convent School, St Paul's Convent School and, St. 
Stephen's Girls' College - participated in the five-day program.,EX.I.T.E. Camp was established nine years ago to fuel young girls' 
interests in taking science and mathematics classes throughout high school 
and understanding of how rewarding engineering and technology careers can 
be. During the five day camp, the girls participated in a series of 
hands-on workshops, games and lectures designed to increase their interest 
in science and technology and open the door to a wider range of career 
options.,During the camp, participants worked in teams and learned how science 
and technology can improve daily life through fun and enlightening 
activities arranged by different science and engineering departments at 
HKUST. CSE hosted the Wii 3D Interactive Lab session which enables the 
girls to create their own ""3D glasses"" simulating the technology built 
into the Nintendo Wii remote. The girls also attended lectures by IBM and 
HKUST experts on IT-related subjects and career opportunities in the 
technology fields.,Prof Roland Chin, Vice-President for Academic Affairs of HKUST, said to 
the participants at the opening, ""It is particularly meaningful that you 
are all school girls, because at present the male-female student ratio on 
our School of Engineering is out-of-balance, with about 80% of the 
students being male. We hope that more female students with good 
potentials will join our various engineering programs and realize their 
full potentials. I hope that these few days of activities will arouse your 
interest in technology and engineering, and that when you select your 
favorite university and subjects, you will seriously consider HKUST's 
engineering and technology courses."",""As technology becomes the foundation for business innovation, the 
demand for people with outstanding skills in math and science disciplines 
is increasing,"" said Dominic Tong, General Manager, IBM China/Hong Kong 
Limited. ""However, there is a widespread misconception that male students 
do better when it comes to science and technology. We believe that today's 
girls are brimming with talent, creativity and imagination. The IBM 
EX.I.T.E. Camp gives them the opportunity to gain experience in the 
practical applications of science and technology and shows them that they 
can use math, science and technology to become innovators in the 
technology industries.""",IBM EXITE Camp 2008
,", Professor of Computer Science and 
Engineering at the Hong Kong University of Science and Technology, has 
been elected a Fellow of the prestigious Institute of Electrical and 
Electronics Engineers (IEEE) for his ""contributions to understanding and 
application of intelligent planning, learning and data mining"". Fellowship 
is one of the most prestigious honors the IEEE can bestow. Each year less 
than one out of every 1,000 IEEE members is elected to this, the 
Institute's highest grade of membership.,Professor Qiang Yang earned his Ph.D. in Computer Science from the
University of Maryland, USA in 1989. Prior to his work in Hong Kong in
2001, he was on the faculty of the University of Waterloo and Simon Fraser
University, both in Canada. He was also a visiting scholar at Microsoft
Research Asia and University of Washington during his sabbatical.,The IEEE is a non-profit, technical professional association with more
than 350,000 individual members in 150 countries. IEEE members are
recognized as leading authorities in areas ranging from computer
engineering, biomedical technology and telecommunications, to electric
power, aerospace and consumer electronics, among others. The IEEE and its
predecessors date back to 1884. From its inception, the IEEE has advanced
the theory and application of electrotechnology and allied sciences and
continues to be a major catalyst for technological innovation.",Professor Qiang Yang Elected IEEE Fellow
,"The HKUST Outreach Day 2008 was successfully held on 20 September 2008.  
All Forms 6 - 7 students, their parents and secondary school teachers were 
invited to join this annual event.,The Department of Computer Science and Engineering, offering one of the 
most popular UG programs of HKUST, has held academic seminars, live demos 
and demo tours this year help visitors understand more about the 
department and our academic programs.,With all the support from students and faculty members, we have 
received overwhelming responses in various activities on the Outreach 
Day.,Here are some Snapshots of the day:",Outreach Day 2008
,"The Michael G Gale Medal for Distinguished Teaching was established by 
the University Council in 1994 to recognize an academic staff member who 
best exemplifies the continued pursuit of excellence, devotion to teaching 
and ability to inspire and motivate.,Established by the University Council to commemorate the late Council 
Founding Member Michael G Gale for his outstanding contribution, this year 
the award goes to Prof Mordecai J Golin, a Computer Science and 
Engineering Professor and expert in the design and anlaysis of 
algorithms.,Prof Golin received his doctorate from Princeton University and joined 
the University in 1993. He is currently the Chair of the Senate Committee 
on Postgraduate Studies and his Department's 334 Conversion Committee. 
Twice voted by students as one of the Top Ten Best Lecturers, he is also a 
four-time recipient of the School of Engineering's Teaching Awards.,In teaching he favors a contextual approach. ""I do not believe that 
technical subjects exist in a vacuum. To be properly understood, 
appreciated and remembered, they need to be placed within their proper 
sociopolitical context."" Prof Golin often peppers his class with anecdotes 
to provide this context. Students find this approach intriguing. As 
related by one of his students, Prof Golin ""always explains difficult 
concepts with interesting stories."",Apart from his contextual approach to pedagogy, Prof Golin impresses 
his students and colleagues with his unparalleled devotion to teaching and 
program development. His obsession with giving his students the best he 
can is almost contagious. During his career at HKUST he has created many 
new courses and developed both new Postgraduate and Undergraduate 
programs.,His current task is the development of the new Bachelor in Computer 
Science program which, for the first time, allows Computer Science 
students from the School of Engineering to also take a second concurrent 
major in a science subject, notably Mathematics or Physics. Due to the 
differing nature of the majors involved, Prof Golin has to work 
individually with students to develop personalized programs that match 
their own specific backgrounds, constraints and goals for the future.,Despite the work involved, Prof Golin finds the experience gratifying. 
""It is fascinating to build programs that work properly,"" remarked Prof 
Golin, ""There's no greater pleasure than to see my students grow and 
develop intellectually and a well-designed program gives them that 
opportunity"".,After all his time as an academic, Prof Golin remains passionate about 
his role as a teacher and convinced about the essence of education - that 
is the task of helping students ""learn, understand and grow.""","Professor Mordecai Golin awarded the Michael G Gale Medal for 
Distinguished Teaching (2008)"
,"In the ACM Asia Regional Programming Contest that was held in Ho Chi 
Minh City, the HKUST programming team comprised of CSE students CHEN Chen, 
CHEN Qifeng, and WU You won the first prize and was ranked at the 4th 
place. All top 4 teams solved the same number of questions, but the HKUST 
team unfortunately just used slightly more time. The same team also got 
the 6th place in the Taipei site.,Other teams have also obtained very good results in the regional 
contests at various sites:,The teams are led by coaches , and PG 
student LUO Ji.,Congratulations!,For more information about the HKUST programming team, please visit 
their ,.",Programming Team Wins First Prize in ACM Asia Contest
,"The Student Ambassadors Program was launched by the School of 
Engineering in 2006. In the past few years, Student Ambassadors 
representing the Department of Computer Science and Engineering have 
actively participated in different outreach and recruitment activities, 
and have helped promoting Computer Science to the public.,This year, we are pleased to announce that two CSE undergraduates who 
have demonstrated outgoing personality and strong enthusiasm have been 
selected from the Department of Computer Science and Engineering to serve 
for one year (from March 2009 to February 2010). In the coming year, they 
will be representing our department to promote the programs locally.,The two Student Ambassadors this year are:,Congratulations!",Student Ambassadors Program 2009
,"The , was held on February 6, 
2009. The annual contest is the second to be held in Hong Kong and it is 
open to full-time undergraduate students attending an accredited education 
institution in Hong Kong or Macau. This year, the contest attracted 37 
teams from seven universities in Hong Kong and one university in Macau. 
The objective of the contest is to challenge students, working in teams of 
three, to solve real-world database programming problems with the latest 
relational database technologies in a given time frame. Each university 
was allowed to send five teams to the event.,The teams from HKUST achieved great success this year and won the 
Champion University Award in the contest. They obtained the highest 
combined scores in comparison with all the teams from the other 
universities. We are grateful for contributions from all our team members. 
They include (see ,):,
, Ji Luo
,
,
, WONG Ka Chun,
LI Yuliang,
YU Ka Cheuk
,
,
, LAM Wing Kwun,
KWOK Chun Wing,
NG Cheuk Ki
,
,
, YAN Zhepeng,
Chen Chen,
Li Maocheng
,
,
, CHAN Sing Fu (Neville),
WONG Kai Hong (Michael),
LEE Ka Wai (Ralf)
,
,
, ZHAO Zhou,
HUNG Chiu Lung (Desmond),
CHEN Qifeng
","Programming Teams Won HKUST the Champion University Award at the IBM 
DB2 UDB Inter-University Programming Contest 2009"
,"Huawei-HKUST Innovation Laboratory was set up to enhance and accelerate 
long-term research between industry and university. To mark the official 
launch of the laboratory, an opening ceremony was held on 16 April 2009 at 
HKUST. Representatives of Huawei and HKUST were here to witness the 
official opening of the Lab. The commemorative plaque was revealed by the 
co-directors and representatives from the 2 parties after a collaboration 
agreement was signed.,Funded by Huawei, full-time staff from Huawei including senior research 
scientists will be working closely with HKUST faculty, students and other 
research staff on joint research projects. The primary research interests 
of the innovation lab include hardware, software, physical layer 
technologies, wireless system technologies as well as networking and 
applications.,Dr. Qian ZHANG, one of the co-directors of Huawei-HKUST Innovation 
Laboratory, remarked at the ceremony, ""I'm very excited to establish this 
collaboration with Huawei. I believe we will be having a lot of 
breakthroughs in technologies in the future.""",Opening Ceremony of the Huawei - HKUST Innovation Laboratory
,"While RoboCupJunior (RCJ), one of the most important robotic events for 
young students in the world, is going to take place in Graz, Austria in 
June 2009, RCJ Hong Kong was held on 25 April 2009 in SH Ho Sports Hall at 
the Hong Kong University of Science & Technology, to serve as the 
local contest.,It was the fifth year that the Department of Computer Science & 
Engineering at HKUST has joined hands with Electronic Technology 
Publishing Group and the Hong Kong Federation of Education Workers to 
organize this annual event. This year, there were more than 130 teams from 
69 secondary and primary schools participating in the competition. The 
challenges are divided into three categories - soccer, rescue and 
dance.,RoboCupJunior is a project-oriented educational initiative that 
supports local, regional and international robotic events for young 
students up to the age of 19. It is designed to introduce RoboCup to 
primary and secondary school children, as well as undergraduates who do 
not have the resources to get involved in the senior leagues of RoboCup. 
The focus of RCJ is on education.,Official Website of RCJHK: ,Here are some snapshots of the RCJHK event on 25 April 2009:",RoboCupJunior Hong Kong 2009
,"Undergraduate computer wizards from 8 local tertiary institutes tested 
their skills against each other last Saturday (June 20) at the Hong Kong 
University of Science & Technology campus in this year's ACM 
Collegiate Programming Contest (Hong Kong).,Every year, the Association for Computing Machinery (ACM) sponsors 
regional and international collegiate programming contests. They divide 
the world up into 16 regions. Each region has a regional contest, with the 
top two or three teams in each region going on to the international 
contest.,Since 1991, the ACM Hong Kong Chapter has been organizing a local 
contest in Hong Kong, modeling after the ACM contests in terms of 
objectives, format, and style. This year, fifty teams have been invited 
from the ten tertiary institutes in Hong Kong and Macau: The Chinese 
University of Hong Kong, The City University of Hong Kong, The Lingnan 
University, The Hong Kong Polytechnic University, The Hong Kong University 
of Science and Technology, The University of Hong Kong, The Hong Kong 
Baptist University, The Open University of Hong Kong, The University of 
Macau, and Macau University of Science and Technology.,17 regular teams and 10 observing teams took part in this year's 
challenge. During the contest, teams formed by three programmers had to 
compete against the clock. The software used for development is scheduled 
to be based on Microsoft Windows XP with Visual Studio.NET 2003 and Java 
1.5.007 with Netbean 5.0. Each team is given six programming problems. 
They then try to write programs to solve as many of these problems as 
possible in four hours given. The team that correctly solves the most 
problems wins. If multiple teams solve the same number of problems, the 
team that solved them fastest wins. Expertise in quick-and-dirty hacking 
is usually more valuable than rigid software engineering techniques in 
such an environment.,After a remarkable day of an effort on the contest day, E++ from CUHK 
got the Championship. HKUST Team 1 comprised of Chen Qifeng, Li Yuliang, 
Yan Zhepeng won the 1st Runner-up Prize.,Yan Zhepeng of the award-winning team remarked that, ""team 
collaboration is an important factor in the contest since only one 
computer is available for each team and we need to have good planning with 
the limited time given."" He would also like to thank their coach Prof YI 
Ke and PG coach LUO Ji who organize weekly training and give them valuable 
advices.,Following the contest, all the teams were able to relax and mingle with 
their fellow competitors from other institutes at the banquet.,Learn more about the ,.,Some snapshots of the day:",HKUST Hosts ACM Collegiate Programming Contest (Hong Kong) 2009
,"The Professor Samuel Chanson Scholarship Fund was jointly set up by the 
family of Professor Samuel Chanson and the HKUST, in memory of Professor 
Chanson.,The fund has been used to set up a number of scholarships and awards, 
namely Professor Samuel Chanson Academic Excellence Scholarship, Professor 
Samuel Chanson Most Improved Student Award, Professor Samuel Chanson Best 
Final Year Project Awards and Professor Samuel Chanson Best Teaching 
Assistant Awards, to benefit HKUST students and teaching assistants.,In Academic Year 2008-09, the scholarship and awards are given to the 
following students and TA in recognition of their great work during the 
year:, on June 29, 2009.",Professor Samuel Chanson Scholarship & Awards (2008-09)
,"HONG Wa Lun Warner, CSE Final Year student of Year 2008-2009, has 
recently won the Championship of the 6th Final Year Project (FYP) 
Competition organized by the IEEE (HK) Computational Intelligence 
Chapter.,Warner was the FYT supervisee of Dr. Brian MAK of the Department. His 
final year thesis was on ""Optimal Keypad for Small Devices"".,Congratulations!",Computer Science Student Won IEEE Final Year Project Competition
,"The , has been highly successful 
in fostering advances and collaboration in computer science and research. 
Program aims to recognize outstanding junior PhD students in the 
Asia-Pacific region, as well as facilitate and empower the future growth 
of junior PhD students majoring in Computer Science, Electronic 
Engineering, Information Science, or Applied Mathematics, who have the 
potential to become future research leaders.,The program began in 1999, and since then it attracted around 500 PhD 
candidates from 48 universities in the Asia-Pacific region. From its 
inception to 2008, more than two hundred and fifty outstanding PhD 
students have been awarded the Microsoft Research Asia Fellowship honors 
or scholarship.,This year, 25 out of 98 nominated PhD candidates from various 
universities/institutions in Asia have been awarded fellowships. We are 
very pleased that our PhD student, , is among those selected. He will be provided a cash award of 
US$6,000 to support his research and academic endeavors and may have an 
opportunity to be an intern at MSRA.,Derek is a PhD student of the Computer Science and Engineering 
Department under the supervision of Prof. Qiang YANG. He got his 
Bachelor's degree in the Department of Computer Science and Technology at 
Nanjing University in 2007. His research interests include Machine 
Learning, Web Mining, Automated Planning and Bioinformatics etc.,""I'm really honored to receive the Fellowship this year. I would like 
to thank my supervisor, Prof. Qiang Yang, for his guidance which led me 
into this exciting research field. I also would like to thank all of our 
group members, and our department head Prof. Mounir Hamdi for his help 
during my application. Such an award encourages me to continue my 
research on both the area of activity recognition and query intention 
mining. I would try my best to do more high quality research work and 
have more collaborations with Microsoft Research Asia and other 
researchers in this field."" Derek remarked.",Microsoft Research Asia Fellowship Program 2009
,"In the year of 2009, HKUST School of Engineering again ranks #1 among 
all the Engineering schools in Hong Kong and is consistently being ranked 
within the top 30 universities worldwide in Engineering and Information 
Technology according to the latest 2009 Times Higher Education - QS World 
University Rankings.,The top 3 universities remain to be MIT, UC Berkeley and Stanford, 
respectively. Harvard is being ranked 22, Princeton at 23, Cornell at 24, 
University of Illinois, Urbana-Champaign at 25, HKUST at 26, Seoul 
National University and the University of Waterloo at 27.,We are proud to be one of the key players in the world, and the only 
university from Hong Kong amongst the leading and top 50 global technology 
universities. The excellence of Hong Kong engineering education and 
research is also being recognized by having 5 of its universities being 
ranked in the top 100 universities with the University of Hong Kong at 63, 
Chinese University of Hong Kong at 78, Hong Kong Polytechnic University at 
91, and the City University of Hong Kong at 92.",School of Engineering Shines Again in International Ranking
,"Lionel M. Ni, Chair Professor of Computer Science and Engineering at 
the Hong Kong University of Science and Technology, has been awarded the 
Overseas Outstanding Contributions Award 2009 by China Computer Federation 
(CCF). The Award was presented on 24 October 2009 in Tianjin, China. 
Attended the award presentation banquet were CCF executive committee 
members and more than 350 CNCC2009 conference representatives from all 
over the world.,The Overseas Outstanding Contribution Award is awarded annually to one 
scholar overseas who makes significant contributions to the development of 
computer science technology in China. Each year, one awardee is selected 
by the Judging Panel of China Computer Federation.,Prof. Lionel Ni is currently a Chair Professor of Computer Science and 
Engineering at HKUST, an IEEE Fellow and also the Fellow of the Hong Kong 
Academy of Engineering Sciences. He has been contributing to researches in 
the areas of Wireless sensor networks; Pervasive/Ubiquitous computing; 
Grid computing; Peer-to-peer computing; Mobile computing; High-speed 
networking; High-performance computer architecture; Parallel and 
distributed systems; Multicore computing; Network security. He has 
published 3 books, 70 Journal Papers and 160 Conference Papers.

,Read more about the 
,.","Prof. Lionel Ni received China Computer Federation Overseas Outstanding 
Contributions Award 2009"
,"In the 2009 ACM/ICPC Asia Regional Programming Contest that was held in 
Seoul, the HKUST programming team comprised of CSE students HU Hao, CHEN 
Qifeng, LI Yuliang won the first prize and was ranked at the 3th place. 
The same team also got the 5th place in the Jakarta site.,Other teams have also obtained very good results in the regional 
contests at various sites:,The teams are led by coaches , and PG 
student HU Hao.,Congratulations!,For more information about the HKUST programming team, please visit ,.",Programming Team Wins First Prize in 2009 ACM Asia Contest
," of the Department of Computer 
Science and Engineering is elevated to IEEE Fellow for contributions to 
three-dimensional computer vision in Computer Society.",Professor Long QUAN Elevated to IEEE Fellow
," of the Department of Computer 
Science has recently received The Best Ten Lecturers Award presented by 
the student association - VERTEX, the House II Students Association.,This is the 13th consecutive year VERTEX, House II Students' 
Association has organized this event.,Congratulations!",The Best Ten Lecturers Election 2009
